,Ping (ms),Download (Mbit/s),Upload (Mbit/s),Datetime,Date,Time
0,26.991999999999997,91.8,14.31,24/11/2016 13:36,2016-11-24,13:36:00
1,24.531999999999996,88.19,14.12,24/11/2016 13:36,2016-11-24,13:36:00
2,20.225,59.86,14.11,24/11/2016 13:37,2016-11-24,13:37:00
3,19.332,91.81,14.22,24/11/2016 13:37,2016-11-24,13:37:00
4,22.494,92.05,14.08,24/11/2016 13:38,2016-11-24,13:38:00
5,17.586,91.88,14.18,24/11/2016 13:39,2016-11-24,13:39:00
6,21.835,92.18,14.07,24/11/2016 13:39,2016-11-24,13:39:00
7,20.464000000000002,92.05,14.13,24/11/2016 13:40,2016-11-24,13:40:00
8,19.293,90.79,14.14,24/11/2016 13:40,2016-11-24,13:40:00
9,20.354,92.64,14.07,24/11/2016 13:41,2016-11-24,13:41:00
10,19.01,91.86,14.38,24/11/2016 13:41,2016-11-24,13:41:00
11,18.092,92.24,14.23,24/11/2016 13:42,2016-11-24,13:42:00
12,18.137,91.64,14.32,24/11/2016 13:42,2016-11-24,13:42:00
13,18.344,92.85,14.2,24/11/2016 13:43,2016-11-24,13:43:00
14,23.328000000000003,92.21,14.2,24/11/2016 13:43,2016-11-24,13:43:00
15,17.908,92.24,11.36,24/11/2016 13:43,2016-11-24,13:43:00
16,19.291,92.41,14.03,24/11/2016 13:44,2016-11-24,13:44:00
17,20.117,90.39,14.17,24/11/2016 13:45,2016-11-24,13:45:00
18,19.579,92.55,14.06,24/11/2016 13:45,2016-11-24,13:45:00
19,16.364,78.51,13.71,24/11/2016 13:46,2016-11-24,13:46:00
20,19.147000000000002,91.49,14.17,24/11/2016 13:46,2016-11-24,13:46:00
21,19.342,91.46,14.16,24/11/2016 13:47,2016-11-24,13:47:00
22,21.959,91.19,14.37,24/11/2016 13:47,2016-11-24,13:47:00
23,19.951,91.64,13.87,24/11/2016 13:48,2016-11-24,13:48:00
24,17.13,90.47,14.38,24/11/2016 13:48,2016-11-24,13:48:00
25,19.822,91.9,14.19,24/11/2016 13:49,2016-11-24,13:49:00
26,20.559,91.96,14.18,24/11/2016 13:49,2016-11-24,13:49:00
27,16.649,92.24,14.23,24/11/2016 13:50,2016-11-24,13:50:00
28,21.035999999999998,90.93,13.97,24/11/2016 13:50,2016-11-24,13:50:00
29,22.456999999999997,92.36,14.28,24/11/2016 13:51,2016-11-24,13:51:00
30,18.345,91.42,14.22,24/11/2016 13:51,2016-11-24,13:51:00
31,22.255,91.36,14.14,24/11/2016 13:52,2016-11-24,13:52:00
32,18.680999999999997,91.5,14.21,24/11/2016 13:52,2016-11-24,13:52:00
33,17.665,92.04,14.03,24/11/2016 13:53,2016-11-24,13:53:00
34,22.605,91.04,14.31,24/11/2016 13:53,2016-11-24,13:53:00
35,17.445,92.07,14.12,24/11/2016 13:54,2016-11-24,13:54:00
36,20.771,92.14,9.23,24/11/2016 13:54,2016-11-24,13:54:00
37,18.916,92.3,13.97,24/11/2016 13:55,2016-11-24,13:55:00
38,19.17,92.27,14.06,24/11/2016 13:55,2016-11-24,13:55:00
39,19.197,91.89,10.73,24/11/2016 13:56,2016-11-24,13:56:00
40,20.921,92.37,14.16,24/11/2016 13:56,2016-11-24,13:56:00
41,18.565,91.98,14.35,24/11/2016 13:57,2016-11-24,13:57:00
42,18.607,92.0,14.05,24/11/2016 13:57,2016-11-24,13:57:00
43,17.826,91.14,14.3,24/11/2016 13:58,2016-11-24,13:58:00
44,19.038,92.06,10.85,24/11/2016 13:58,2016-11-24,13:58:00
45,19.712,90.45,14.28,24/11/2016 13:59,2016-11-24,13:59:00
46,19.754,92.21,14.33,24/11/2016 13:59,2016-11-24,13:59:00
47,22.427,88.81,7.4,24/11/2016 14:00,2016-11-24,14:00:00
48,19.862000000000002,92.41,14.46,24/11/2016 14:00,2016-11-24,14:00:00
49,18.858,92.25,14.25,24/11/2016 14:01,2016-11-24,14:01:00
50,21.899,91.53,13.95,24/11/2016 14:01,2016-11-24,14:01:00
51,19.482,91.09,13.7,24/11/2016 14:02,2016-11-24,14:02:00
52,25.331,84.75,13.89,24/11/2016 14:02,2016-11-24,14:02:00
53,19.632,92.42,14.23,24/11/2016 14:03,2016-11-24,14:03:00
54,18.816,92.26,13.31,24/11/2016 14:03,2016-11-24,14:03:00
55,20.994,92.0,14.06,24/11/2016 14:04,2016-11-24,14:04:00
56,19.366,91.46,13.83,24/11/2016 14:04,2016-11-24,14:04:00
57,18.014,90.88,14.09,24/11/2016 14:05,2016-11-24,14:05:00
58,17.715,90.23,14.16,24/11/2016 14:05,2016-11-24,14:05:00
59,20.273,91.82,14.18,24/11/2016 14:06,2016-11-24,14:06:00
60,17.505,83.68,11.81,24/11/2016 14:06,2016-11-24,14:06:00
61,20.7,88.98,13.96,24/11/2016 14:07,2016-11-24,14:07:00
62,21.189,92.17,14.25,24/11/2016 14:07,2016-11-24,14:07:00
63,21.28,91.8,13.8,24/11/2016 14:08,2016-11-24,14:08:00
64,21.941999999999997,92.22,14.09,24/11/2016 14:08,2016-11-24,14:08:00
65,21.935,91.83,14.04,24/11/2016 14:09,2016-11-24,14:09:00
66,22.176,92.25,14.01,24/11/2016 14:09,2016-11-24,14:09:00
67,20.493000000000002,91.81,14.3,24/11/2016 14:10,2016-11-24,14:10:00
68,20.933000000000003,91.76,11.0,24/11/2016 14:10,2016-11-24,14:10:00
69,22.627,91.79,14.28,24/11/2016 14:11,2016-11-24,14:11:00
70,20.212,88.41,14.2,24/11/2016 14:11,2016-11-24,14:11:00
71,20.465,90.03,14.05,24/11/2016 14:12,2016-11-24,14:12:00
72,22.500999999999998,91.2,14.31,24/11/2016 14:12,2016-11-24,14:12:00
73,21.149,91.98,13.84,24/11/2016 14:13,2016-11-24,14:13:00
74,22.679000000000002,92.04,13.91,24/11/2016 14:13,2016-11-24,14:13:00
75,20.85,92.04,13.93,24/11/2016 14:14,2016-11-24,14:14:00
76,19.671,92.5,14.0,24/11/2016 14:14,2016-11-24,14:14:00
77,21.311999999999998,91.17,14.22,24/11/2016 14:15,2016-11-24,14:15:00
78,21.569000000000003,92.02,14.15,24/11/2016 14:15,2016-11-24,14:15:00
79,23.272,92.31,14.11,24/11/2016 14:16,2016-11-24,14:16:00
80,21.666,91.96,14.01,24/11/2016 14:16,2016-11-24,14:16:00
